player,country,games,win_rate,kda,avg_kills,avg_deaths,avg_assists,csm,gpm,kp%,dmg%,dpm,vspm,avg_wpm,avg_wcpm,avg_vwpm,gd@15,csd@15,xpd@15,fb_%,fb_victim,penta_kills,solo_kills
113,TR,6,0.33299999999999996,2.7,2.7,3.3,6.3,5.1,315,0.7659999999999999,17.7,462,1.27,0.24,0.32,0.22,20,-7,-372,0.5,0.0,0,1
13,FR,6,0.16699999999999998,2.4,5.5,3.5,2.8,7.2,393,0.797,33.9,799,1.09,0.41,0.25,0.08,-146,-20,-742,0.5,0.16699999999999998,0,1
1Jiang,TW,7,0.14300000000000002,2.1,2.7,3.3,4.1,6.7,345,0.612,23.0,485,1.18,0.49,0.2,0.29,276,0,0,0.0,0.0,0,0
1xn,CN,8,0.75,5.9,7.5,2.4,6.5,9.5,489,0.833,31.6,872,1.21,0.37,0.38,0.11,471,0,0,0.0,0.0,0,0
23Nino,GR,7,0.28600000000000003,2.2,2.6,3.3,4.6,7.9,377,0.43799999999999994,20.7,530,0.9,0.35,0.12,0.09,0,0,-414,0.28600000000000003,0.0,0,2
369,CN,7,0.5710000000000001,2.2,2.4,3.4,5.0,7.9,391,0.51,19.7,538,0.97,0.35,0.17,0.14,92,0,0,0.0,0.0,0,0
3XA,FR,4,0.25,4.9,6.3,2.8,7.3,9.7,452,0.71,27.3,819,1.16,0.44,0.33,0.12,155,-2,40,0.75,0.0,0,0
AKi,CN,4,0.75,4.8,3.0,2.8,10.3,7.2,383,0.795,23.4,568,1.24,0.22,0.28,0.19,285,0,0,0.0,0.0,0,0
APA,US,2,1.0,5.6,6.5,2.5,7.5,8.0,449,0.733,32.6,1024,1.01,0.37,0.2,0.18,454,-4,338,0.0,0.0,0,2
Abagnale,TR,6,0.833,3.1,1.0,5.3,15.7,1.1,268,0.7829999999999999,6.1,184,3.83,2.34,0.45,0.61,5,4,-312,0.33299999999999996,0.16699999999999998,0,0
Abbedagge,DE,2,0.0,1.5,2.5,3.0,2.0,7.9,348,0.35,25.3,680,1.1,0.51,0.31,0.22,-576,-8,-688,0.0,0.0,0,0
About,KR,9,0.222,2.5,4.3,3.7,5.0,9.3,431,0.74,30.1,802,1.33,0.5,0.34,0.18,-225,0,73,0.444,0.111,0,1
Ackerman,AR,3,0.667,5.0,0.3,1.7,8.0,1.0,247,0.833,7.6,203,3.45,1.72,0.46,0.53,153,-4,250,0.0,0.33299999999999996,0,0
Adam,FR,6,0.16699999999999998,1.9,2.8,3.7,4.0,8.1,398,0.55,20.2,403,1.04,0.36,0.25,0.1,-398,1,79,0.0,0.16699999999999998,0,0
Adryh,ES,9,0.0,0.8,1.1,4.0,2.2,8.3,353,0.552,24.0,506,0.7,0.29,0.2,0.04,-1560,-11,-650,0.111,0.0,0,1
Adyyy,CZ,7,0.28600000000000003,3.9,4.0,2.6,6.1,8.6,402,0.604,29.0,738,0.69,0.27,0.14,0.03,113,0,-84,0.429,0.0,0,4
Aegis,BR,2,1.0,6.2,2.0,2.5,13.5,6.4,370,0.7909999999999999,11.5,375,1.34,0.19,0.31,0.15,538,6,142,1.0,0.0,0,0
Aetinoth,TR,9,0.667,6.4,5.2,1.4,4.0,9.1,462,0.57,28.6,770,0.96,0.45,0.25,0.07,596,-2,250,0.222,0.0,0,5
Afroboi,DE,6,0.5,7.6,3.3,1.3,6.8,7.4,378,0.737,14.2,345,1.16,0.11,0.34,0.1,-68,-1,-292,0.33299999999999996,0.16699999999999998,0,0
Agurin,DE,6,0.5,2.0,2.7,5.8,9.0,6.9,358,0.599,20.6,572,1.25,0.39,0.23,0.14,79,2,-128,0.5,0.0,0,0
Aiming,KR,11,0.727,14.6,4.2,0.8,7.7,9.2,443,0.722,30.6,853,1.1,0.47,0.3,0.13,88,1,232,0.182,0.091,0,2
Ale,CN,8,0.75,6.7,2.6,1.4,6.6,7.7,385,0.603,22.8,666,0.85,0.41,0.13,0.14,-25,0,0,0.0,0.0,0,0
Alive,KR,4,1.0,5.9,5.8,2.3,7.5,9.5,454,0.72,25.1,681,1.06,0.35,0.3,0.09,-15,-2,222,0.5,0.25,0,0
Alix,TR,6,0.33299999999999996,3.7,3.0,2.5,6.3,8.6,394,0.748,30.4,691,0.86,0.28,0.24,0.09,292,1,63,0.5,0.0,0,0
Alvaro,ES,6,0.833,7.8,1.0,1.7,12.0,1.0,278,0.8420000000000001,7.2,199,3.98,1.91,0.54,0.5,365,-5,-41,0.667,0.0,0,0
Andariel,TR,9,0.444,4.7,4.2,2.1,5.7,8.6,420,0.755,24.5,537,0.94,0.36,0.22,0.13,573,7,384,0.111,0.0,0,0
Andil,KR,13,0.462,1.9,0.4,3.9,7.2,1.0,235,0.679,7.7,182,3.23,1.55,0.43,0.44,-377,2,-168,0.308,0.231,0,0
Angel,CN,7,0.14300000000000002,3.0,1.7,2.9,6.7,8.3,376,0.738,27.7,648,1.21,0.42,0.27,0.23,-192,0,0,0.0,0.0,0,0
Aress,VN,8,0.375,2.9,2.6,2.5,4.6,8.0,384,0.499,21.1,472,1.06,0.42,0.23,0.17,-231,-2,121,0.0,0.25,0,0
Aria,KR,7,0.28600000000000003,5.5,5.6,2.1,6.1,8.6,434,0.823,29.8,753,1.27,0.33,0.37,0.23,369,5,323,0.14300000000000002,0.14300000000000002,0,1
Armut,TR,5,0.8,5.1,4.4,2.0,5.8,8.2,421,0.484,23.4,713,1.11,0.56,0.13,0.15,-85,-7,-338,0.0,0.2,0,0
Artemis,VN,8,0.375,4.5,4.0,2.0,5.0,9.2,424,0.7609999999999999,25.4,557,1.31,0.41,0.37,0.17,-420,-5,-427,0.25,0.0,0,0
Artoria,FR,6,0.16699999999999998,2.1,2.7,3.0,3.7,7.9,370,0.57,25.9,583,0.71,0.38,0.07,0.14,-540,-4,-251,0.0,0.16699999999999998,0,3
Assum,CN,7,0.14300000000000002,1.8,2.4,4.1,5.0,8.8,391,0.56,24.6,604,1.13,0.4,0.32,0.17,-473,0,0,0.0,0.0,0,0
Avarice,BG,6,0.833,8.0,4.8,1.7,8.5,9.0,448,0.6509999999999999,23.3,691,0.88,0.27,0.31,0.03,-428,4,-128,0.16699999999999998,0.0,0,1
Axelent,MK,7,1.0,12.1,9.1,1.7,11.6,8.1,484,0.8140000000000001,28.2,863,0.89,0.36,0.22,0.07,351,-5,-70,0.28600000000000003,0.28600000000000003,0,0
Aytekn,TR,7,0.429,1.7,1.4,3.6,4.6,7.2,347,0.431,20.2,574,0.82,0.26,0.15,0.09,-57,8,147,0.14300000000000002,0.14300000000000002,0,2
Ayu,BR,3,0.33299999999999996,10.0,2.3,0.7,4.3,9.4,423,0.5820000000000001,24.1,567,0.79,0.41,0.16,0.11,-302,3,-257,0.33299999999999996,0.0,0,0
Azhi,TW,6,1.0,7.8,3.3,1.5,8.3,7.6,405,0.711,19.2,543,1.09,0.4,0.23,0.17,257,11,157,0.33299999999999996,0.0,0,1
BAO,KR,5,0.8,8.4,5.8,1.6,7.6,8.5,435,0.619,25.2,819,1.21,0.51,0.32,0.14,257,8,648,0.0,0.2,0,1
Baashh,DK,6,0.5,3.5,2.2,4.3,12.8,4.7,312,0.7759999999999999,14.3,428,0.86,0.16,0.19,0.11,-660,-8,-522,0.16699999999999998,0.0,0,2
Backlund,SE,4,0.25,2.9,4.8,3.5,5.3,7.9,395,0.6890000000000001,27.9,752,0.87,0.28,0.23,0.07,-39,-4,-371,0.0,0.0,0,0
Badlulu,FR,9,0.667,2.8,3.6,2.9,4.7,7.7,400,0.505,20.6,530,0.84,0.39,0.1,0.16,219,-3,138,0.111,0.0,0,3
Balyy,ES,3,0.33299999999999996,2.1,5.7,5.0,5.0,6.3,366,0.8190000000000001,22.2,603,1.13,0.17,0.23,0.24,-53,14,529,0.0,0.0,0,1
Bananitoo,GR,4,0.5,4.8,0.8,3.5,16.0,1.1,267,0.848,6.1,151,3.36,1.42,0.51,0.38,213,-5,25,0.25,0.0,0,0
Banderas,NO,6,0.667,3.1,3.5,3.2,6.3,8.0,415,0.491,22.7,679,0.98,0.38,0.22,0.04,473,16,549,0.16699999999999998,0.0,0,10
Batuuu,TR,5,0.4,1.8,0.0,4.2,7.4,1.1,236,0.725,7.1,166,3.28,1.57,0.44,0.48,-110,-2,-119,0.0,0.0,0,0
Baus,SE,6,1.0,1.5,2.7,4.8,4.7,8.9,434,0.442,25.0,646,0.6,0.29,0.09,0.0,473,15,279,0.16699999999999998,0.33299999999999996,0,4
Bdd,KR,13,0.5379999999999999,4.9,3.2,1.8,5.8,8.8,409,0.71,26.0,620,1.13,0.42,0.23,0.19,-101,-2,-10,0.154,0.0,0,2
Bean,DE,5,0.8,8.7,5.2,1.2,5.2,9.9,478,0.784,28.8,763,0.82,0.34,0.19,0.09,166,-1,11,0.2,0.0,0,0
Beichuan,CN,8,0.75,5.0,2.8,2.6,10.4,6.9,391,0.773,17.8,489,1.37,0.33,0.28,0.28,150,0,0,0.0,0.0,0,0
Berserker,KR,13,0.308,4.7,3.8,1.7,4.2,9.5,416,0.7290000000000001,26.2,646,1.26,0.4,0.33,0.12,101,0,-106,0.231,0.077,0,0
BeryL,KR,11,0.727,3.5,1.1,3.4,10.5,1.2,259,0.7240000000000001,7.3,205,3.35,1.59,0.48,0.52,113,3,268,0.273,0.091,0,1
Betty,TW,6,1.0,21.7,4.8,0.5,6.0,9.5,470,0.647,27.8,772,1.03,0.36,0.3,0.11,-102,4,-136,0.16699999999999998,0.0,0,2
Bin,CN,6,1.0,5.7,2.7,1.5,5.8,8.3,416,0.48700000000000004,16.8,450,0.94,0.3,0.19,0.11,528,0,0,0.0,0.0,0,0
BioPanther,AU,7,0.14300000000000002,1.6,1.6,3.6,4.1,7.3,344,0.45399999999999996,18.1,399,0.78,0.43,0.11,0.09,363,8,601,0.14300000000000002,0.28600000000000003,0,1
Bisgaard,DK,6,0.16699999999999998,4.0,2.8,1.2,1.8,8.8,384,0.478,25.2,538,0.6,0.31,0.07,0.08,-212,-5,-171,0.16699999999999998,0.0,0,2
Bitse,DE,6,0.16699999999999998,1.2,1.2,4.3,3.8,5.6,304,0.5479999999999999,15.0,315,1.13,0.25,0.28,0.21,-481,-7,-256,0.0,0.16699999999999998,0,0
Blaber,US,2,1.0,11.0,3.0,1.0,8.0,7.5,392,0.736,16.3,367,1.65,0.27,0.43,0.22,326,13,248,0.5,0.0,0,0
Bluffing,KR,10,0.3,2.8,0.4,4.2,11.5,1.1,246,0.775,8.2,210,3.61,1.79,0.49,0.57,-79,-1,220,0.1,0.0,0,0
Boal,BR,3,0.33299999999999996,2.6,2.0,3.0,5.7,7.7,359,0.595,18.6,440,1.06,0.44,0.19,0.15,98,3,778,0.33299999999999996,0.0,0,0
Bong,KR,5,0.6,4.0,3.6,2.0,4.4,7.8,397,0.519,24.3,496,1.21,0.36,0.25,0.17,214,-2,490,0.2,0.0,0,2
Bonnie,KR,10,0.7,4.0,2.7,3.1,9.6,6.5,372,0.6579999999999999,14.1,430,1.5,0.31,0.32,0.26,-263,0,-56,0.2,0.1,0,0
Boukada,FR,4,0.25,2.8,2.3,4.3,9.5,5.6,325,0.642,17.1,461,1.39,0.22,0.31,0.21,288,2,198,0.75,0.0,0,0
Brance,BR,2,1.0,8.3,10.0,2.0,6.5,9.5,512,0.845,30.4,991,1.22,0.44,0.39,0.12,1138,14,482,0.5,0.0,1,0
Breathe,CN,7,0.857,4.5,4.0,2.0,5.0,7.9,415,0.502,17.2,446,0.99,0.39,0.14,0.12,-96,0,0,0.0,0.0,0,0
Broeki,DE,6,0.667,3.9,5.7,3.3,7.3,7.4,419,0.5579999999999999,21.5,704,0.76,0.36,0.13,0.11,272,-8,-318,0.33299999999999996,0.16699999999999998,0,1
Brokenblade,DE,6,0.5,3.2,2.7,2.2,4.2,7.4,374,0.46299999999999997,18.9,464,1.02,0.39,0.19,0.15,490,5,436,0.0,0.16699999999999998,0,0
Buchi,SE,6,0.16699999999999998,0.7,0.8,2.7,1.0,8.0,337,0.23600000000000002,24.1,529,0.75,0.39,0.08,0.13,-771,-20,-483,0.0,0.0,0,0
Bull,KR,4,0.0,3.7,3.3,2.3,5.0,9.1,398,0.722,34.4,945,1.35,0.49,0.34,0.2,38,6,462,0.25,0.0,0,0
Bulldog,KR,11,0.364,3.1,2.7,2.7,5.7,8.5,387,0.7240000000000001,29.2,730,1.17,0.5,0.22,0.28,122,2,28,0.091,0.182,0,1
Burdol,KR,3,0.667,1.6,1.0,3.0,3.7,8.1,366,0.604,21.0,548,1.11,0.4,0.2,0.22,-824,-8,-667,0.0,0.0,0,0
Busio,US,2,1.0,8.3,1.0,1.5,11.5,1.3,282,0.6859999999999999,10.4,287,3.29,1.6,0.4,0.32,274,2,258,0.0,0.5,0,0
Bvoy,KR,2,0.0,1.4,2.0,2.5,1.5,9.0,369,0.522,30.2,580,0.73,0.35,0.2,0.13,-548,-8,-780,0.5,0.0,0,0
Bwipo,BE,2,1.0,2.9,3.5,3.5,6.5,7.7,437,0.563,29.5,817,1.28,0.45,0.25,0.2,1628,18,730,0.5,0.0,0,1
CPM,RO,9,0.667,4.0,2.9,2.3,6.4,6.7,365,0.615,16.7,432,0.6,0.23,0.12,0.03,-239,-15,-136,0.0,0.222,0,4
Caliste,FR,6,0.833,14.2,4.3,0.8,7.5,9.5,482,0.6970000000000001,28.8,916,1.07,0.49,0.24,0.13,164,0,56,0.33299999999999996,0.0,0,1
Calix,KR,8,0.25,3.7,3.0,2.3,5.3,8.7,403,0.5579999999999999,22.9,630,1.32,0.44,0.33,0.27,76,2,46,0.0,0.0,0,6
Callme,KR,5,0.4,2.6,3.0,2.8,4.4,8.8,405,0.733,29.8,697,1.25,0.32,0.38,0.17,-283,4,192,0.2,0.2,0,1
Calmsky,PT,6,0.16699999999999998,1.4,0.3,4.2,5.5,0.8,223,0.732,7.8,170,2.93,1.73,0.32,0.59,-558,-9,-773,0.0,0.16699999999999998,0,1
Camana,TR,3,0.33299999999999996,1.8,2.0,5.3,7.3,7.3,352,0.7,24.3,674,0.95,0.36,0.2,0.12,-46,1,-439,0.0,0.33299999999999996,0,0
Canna,KR,6,0.833,8.1,5.0,1.3,5.8,8.1,414,0.502,22.0,711,1.08,0.54,0.15,0.18,88,-2,-326,0.0,0.16699999999999998,0,3
Canyon,KR,8,0.75,4.8,3.3,2.5,8.8,6.6,382,0.726,19.6,603,1.53,0.42,0.33,0.34,178,6,338,0.375,0.25,0,0
Caps,DK,6,0.5,4.5,5.0,1.8,3.2,8.9,443,0.53,28.7,728,0.9,0.27,0.23,0.12,280,1,93,0.16699999999999998,0.0,1,4
Care,CN,4,0.25,3.1,4.0,2.8,4.5,8.8,429,0.797,33.1,643,1.49,0.37,0.42,0.23,-365,0,0,0.0,0.0,0,0
Career,KR,10,0.7,7.0,1.4,2.0,12.5,1.4,269,0.79,7.5,228,3.52,1.63,0.5,0.45,-162,6,137,0.4,0.0,0,1
Cariok,BR,3,0.667,5.1,2.0,2.3,10.0,6.0,345,0.8,17.2,467,1.41,0.3,0.35,0.24,27,3,247,0.667,0.0,0,0
Carlsen,DK,6,0.33299999999999996,2.3,2.2,2.5,3.5,7.8,368,0.574,16.2,380,0.66,0.35,0.09,0.14,-389,-8,-327,0.33299999999999996,0.16699999999999998,0,1
Carnage,GR,7,0.429,2.5,3.0,4.4,8.0,5.6,348,0.721,12.1,324,1.07,0.22,0.27,0.26,198,-2,-230,0.7140000000000001,0.0,0,0
Carros 2,PT,1,0.0,0.8,1.0,4.0,2.0,9.0,385,0.75,34.1,424,0.48,0.19,0.15,0.0,-2725,-18,-564,0.0,0.0,0,0
Carry,TR,5,0.8,4.3,0.8,3.6,14.8,0.9,266,0.759,5.7,169,3.7,1.93,0.39,0.48,106,1,195,0.0,0.2,0,0
Carzzy,CZ,6,0.5,4.1,4.8,2.3,4.7,8.8,429,0.6659999999999999,29.6,801,1.27,0.47,0.32,0.15,-120,4,134,0.5,0.0,0,0
Casting,KR,8,1.0,10.2,4.0,1.3,8.8,7.5,430,0.589,19.8,615,1.04,0.4,0.15,0.15,292,-5,-27,0.25,0.125,0,3
Castle,KR,2,0.0,1.4,5.5,5.5,2.0,7.0,376,0.8,36.8,975,0.81,0.41,0.1,0.2,977,16,272,0.5,0.5,0,4
Cboi,DK,6,0.5,2.3,1.0,3.8,7.8,5.8,343,0.7929999999999999,16.6,511,1.1,0.29,0.25,0.22,83,7,165,0.5,0.0,0,0
Centu,GR,7,0.429,2.8,0.3,3.4,9.4,0.8,237,0.78,6.3,183,3.19,1.63,0.33,0.42,40,-1,321,0.429,0.0,0,0
Ceo,AR,3,0.667,6.0,5.0,2.0,7.0,9.2,437,0.713,25.3,637,1.3,0.68,0.24,0.27,-139,-6,748,0.33299999999999996,0.0,0,0
Checkfider,CZ,7,0.0,1.4,2.6,4.9,4.0,8.9,402,0.545,23.8,619,0.64,0.25,0.19,0.0,-952,-9,-843,0.28600000000000003,0.0,0,0
Chovy,KR,8,0.75,6.4,3.6,2.0,9.1,8.8,441,0.757,25.1,768,1.26,0.41,0.38,0.17,231,2,53,0.0,0.0,0,1
Citrus,KR,5,0.4,1.7,3.0,5.4,6.2,6.2,334,0.65,20.8,508,1.8,0.39,0.45,0.32,83,8,235,0.2,0.4,0,0
Clear,KR,11,0.273,1.8,1.6,3.7,5.0,7.4,353,0.49,20.8,510,0.92,0.33,0.17,0.14,28,3,134,0.091,0.182,0,1
Click,IT,9,0.667,3.5,1.3,3.4,10.8,1.0,269,0.741,7.6,206,3.3,1.72,0.33,0.46,314,-1,180,0.111,0.0,0,0
Climber,CN,6,0.5,6.9,4.8,2.0,9.0,6.2,374,0.759,16.6,460,1.67,0.45,0.38,0.31,-270,0,0,0.0,0.0,0,0
